Model,Question,Question Type,Expected Answer,BLEU,ROUGE-L,F1,BERTScore (F1),Semantic Sim,Recall@5,Faithfulness,Answer Length,Time to First Token (s),Tokens per Second,Total Time (s),Peak Memory (MB)
gemma3:1b,"Between 'Cybersecurity Fundamentals' and 'Getting Started with Cybersecurity', which takes more time?",comparative,'Cybersecurity Fundamentals' takes more time with 7.5 hours compared to 3 hours.,0.0,0.1767722473604827,21.460746460746464,0.8839759230613708,0.75388837,0.0,0.45520255,21.333333333333332,2.312666666666667,11.32,4.129522085189819,8115.579999999999
gemma3:1b,How long does the course 'Artificial Intelligence Fundamentals' take to complete?,factual,10+ hours,0.0,0.32634032634032634,35.55555555555556,0.8581211169560751,0.39205965,1.0,0.37092414,10.333333333333334,2.3569999999999998,6.661333333333334,3.9289116859436035,8105.8966666666665
gemma3:1b,Is 'Journey to Cloud: Orchestrating Your Solution' longer than 'Journey to Cloud: Envisioning Your Solution'?,comparative,"Yes, 'Journey to Cloud: Orchestrating Your Solution' is 20+ hours, while 'Journey to Cloud: Envisioning Your Solution' is 5 hours.",0.34403975168793827,0.6825396825396824,53.96825396825397,0.9505864381790161,0.921314,0.0,0.39241996,22.0,2.3653333333333335,12.821,4.396222194035848,8114.553333333333
gemma3:1b,What is the ISBN number of the textbook used in the 'Data Fundamentals' course?,unanswerable,N/A,0.0,0.0,0.0,0.7783733407656351,0.046788175,0.0,0.20079796,14.0,2.314,6.633333333333333,3.939436753590902,8109.2266666666665
gemma3:1b,What is the cost of the 'Artificial Intelligence Fundamentals' course?,unanswerable,N/A,0.0,0.0,0.0,0.7929125626881918,0.011807735,0.0,0.3772576,12.0,2.3253333333333335,6.6816666666666675,3.803255637486776,8109.353333333333
gemma3:1b,What is the credential area of the course 'Getting Started with Cybersecurity'?,factual,Cybersecurity,0.0,0.17663817663817663,21.645021645021643,0.8428025841712952,0.648658,1.0,0.6532261,10.666666666666666,2.3156666666666665,5.835,3.7770171960194907,8111.173333333332
gemma3:1b,What is the total duration of the course 'Build Your First Chatbot Using IBM watsonx™'?,factual,60 minutes total course time,0.0,0.2804232804232804,49.67320261437908,0.8652166326840719,0.6020263,1.0,0.48577952,11.666666666666666,3.861333333333333,4.338,5.577449957529704,8127.746666666666
gemma3:1b,Which course discusses both cybersecurity threat intelligence and hands-on learning activities?,multi-hop,Getting Started with Threat Intelligence and Hunting,0.0,0.5217391304347825,47.61904761904762,0.8850791454315186,0.5559497,1.0,0.60704255,15.0,2.311,7.692666666666667,3.8497331142425537,8099.2
gemma3:1b,Which course explains the CIA triad and concepts of data privacy?,multi-hop,Getting Started with Cybersecurity,0.0,0.048484848484848485,3.468468468468469,0.8563491503397623,0.53006834,1.0,0.69892365,37.333333333333336,2.3093333333333335,16.995666666666665,4.255757570266724,8103.486666666667
gemma3:1b,Which course in the AI category involves hands-on simulation and uses IBM watsonx for chatbot creation?,multi-hop,Build Your First Chatbot Using IBM watsonx™,0.0,0.12511091393078969,15.545823685358569,0.8728112777074178,0.72669345,0.0,0.8144179,39.0,2.2786666666666666,17.18733333333333,4.4428408940633135,8110.54
gemma3:1b,Which course includes learning about both prompt engineering and career pathways in generative AI?,multi-hop,Generative AI in Action,0.0,0.09418857982469474,15.82207207207207,0.8202063043912252,0.54968524,1.0,0.7003321,38.666666666666664,2.3186666666666667,16.018333333333334,4.337066253026326,8105.69
gemma3:1b,Which course introduces the fundamentals of text-to-speech technology using IBM watsonx?,factual,Explore Text to Speech Using IBM watson®,0.0,0.3125,16.0,0.8773229122161865,0.6985126,0.0,0.7443328,21.0,2.291,11.798,4.140477418899536,8114.503333333333
gemma3:1b,Which course is available in German and focuses on blockchain?,unanswerable,N/A,0.0,0.0,0.0,0.7770611246426901,0.045152802,0.0,0.20967549,13.0,2.3213333333333335,5.761,3.709502696990967,8113.206666666666
gemma3:1b,Which course is more comprehensive in duration: 'Machine Learning for Data Science Projects' or 'Data Fundamentals'?,comparative,'Machine Learning for Data Science Projects' with 20+ hours is more comprehensive than 'Data Fundamentals' with 7 hours.,0.2241837914641632,0.6644736842105264,57.346491228070185,0.9418177803357443,0.93554,0.0,0.4813254,18.0,2.311,10.048,4.183344602584839,8111.616666666668
gemma3:1b,Which course is shorter: 'Build Your First Chatbot Using IBM watsonx™' or 'Generative AI in Action'?,comparative,'Build Your First Chatbot Using IBM watsonx™' is shorter with 60 minutes compared to 'Generative AI in Action' with 5+ hours.,0.19588175153653595,0.7015873015873018,49.2857142857143,0.9434094429016113,0.9089613,0.0,0.7110874,16.0,2.3223333333333334,9.339666666666666,4.254395961761475,8111.66
gemma3:1b,Which course teaches how to switch programming languages and fix code using AI tools?,multi-hop,Use Generative AI for Software Development Using IBM watsonx™,0.0,0.143245160636465,14.072295584900628,0.8731222748756409,0.6702718,0.0,0.7312711,41.333333333333336,2.295,16.637666666666664,4.321086724599202,8099.31
gemma3:1b,Which course teaches quantum computing with IBM Qiskit?,unanswerable,N/A,0.0,0.04055299539170507,0.0,0.7650301059087118,0.010853953,0.0,0.54606,34.666666666666664,2.275,15.495333333333333,4.104973316192627,8114.110000000001
gemma3:1b,Which course teaches you how to classify data using IBM Granite models?,factual,Classifying Data Using IBM Granite,0.0,0.1295740601817121,16.745610934370216,0.8695324261983236,0.69590276,1.0,0.59900564,35.333333333333336,2.252333333333333,13.770666666666665,4.0642604033152265,8109.54
gemma3:1b,Which is longer: 'Artificial Intelligence Fundamentals' or 'Getting Started with Artificial Intelligence'?,comparative,'Artificial Intelligence Fundamentals' is longer with 10+ hours compared to 3 hours.,0.0,0.0,0.0,0.8270899653434753,0.01962532,0.0,0.052755248,3.6666666666666665,2.3203333333333336,2.0850000000000004,3.7374094327290854,8096.953333333334
gemma3:1b,Who is the instructor of the 'Getting Started with Cybersecurity' course?,unanswerable,N/A,0.0,0.0,0.0,0.7749158143997192,0.041701216,0.0,0.4661053,17.0,2.3480000000000003,7.646333333333334,3.9020602703094482,8112.076666666668
gemma3:4b,"Between 'Cybersecurity Fundamentals' and 'Getting Started with Cybersecurity', which takes more time?",comparative,'Cybersecurity Fundamentals' takes more time with 7.5 hours compared to 3 hours.,0.0,0.43243243243243246,49.01960784313726,0.9245900710423788,0.9090131,0.0,0.46136674,23.0,3.0696666666666665,7.7763333333333335,7.081175406773885,6874.806666666666
gemma3:4b,How long does the course 'Artificial Intelligence Fundamentals' take to complete?,factual,10+ hours,0.0,0.11423582391324327,12.788199454866122,0.84928959608078,0.36136094,1.0,0.46622482,33.333333333333336,3.2310000000000003,7.117333333333334,7.36239488919576,6867.93
gemma3:4b,Is 'Journey to Cloud: Orchestrating Your Solution' longer than 'Journey to Cloud: Envisioning Your Solution'?,comparative,"Yes, 'Journey to Cloud: Orchestrating Your Solution' is 20+ hours, while 'Journey to Cloud: Envisioning Your Solution' is 5 hours.",0.21217591780529807,0.6889790398918189,68.89790398918188,0.955787718296051,0.9130268,0.0,0.3788655,35.333333333333336,2.9326666666666665,9.118333333333332,8.55493434270223,6883.956666666666
gemma3:4b,What is the ISBN number of the textbook used in the 'Data Fundamentals' course?,unanswerable,N/A,0.0,0.04976657329598506,0.0,0.7667663892110189,1.7497068e-05,0.0,0.314909,41.0,3.143666666666667,7.7476666666666665,7.838792562484741,6879.933333333333
gemma3:4b,What is the cost of the 'Artificial Intelligence Fundamentals' course?,unanswerable,N/A,0.0,0.0,0.0,0.7734765013058981,-0.044399757,0.0,0.3862717,32.333333333333336,3.1893333333333334,7.195666666666667,7.345817883809407,6876.406666666667
