Model,Question,Question Type,Expected Answer,Generated Answer,BLEU,ROUGE-L,F1,BERTScore (F1),Semantic Sim,Recall@5,Faithfulness,Answer Length,Time to First Token (s),Tokens per Second,Total Time (s),Peak Memory (MB)
BF16,What is the total duration of the course 'Build Your First Chatbot Using IBM watsonx™'?,factual,60 minutes total course time,The total duration of the course 'Build Your First Chatbot Using IBM watsonx™' is 60 minutes. This course focuses on creating conversational chatbots using Natural Language Processing. It includes a hands-on simulation using IBM watsonx to build a simple chatbot.,0.0,0.13043478260869565,19.51219512195122,0.8415253758430481,0.3668922,1.0,0.69306797,40,14.594,2.03,29.083755254745483,5553.6
BF16,Which course introduces the fundamentals of text-to-speech technology using IBM watsonx?,factual,Explore Text to Speech Using IBM watson®,"The course titled ""Explore Text to Speech Using IBM watsonx"" introduces the fundamentals of text-to-speech technology. It utilizes a hands-on simulation with IBM watsonx to help you create and refine AI-powered voice systems. This course is designed for registered learners and covers the basics of TTS technology.",0.08627614350932425,0.2068965517241379,24.0,0.8667868375778198,0.74082476,0.0,0.755422,47,4.621,3.17,20.99791407585144,5556.21
BF16,What is the credential area of the course 'Getting Started with Cybersecurity'?,factual,Cybersecurity,The credential area of the course 'Getting Started with Cybersecurity' is Cybersecurity. It demonstrates a foundational understanding of cybersecurity key elements and threats. This course covers concepts like data privacy and the CIA triad model.,0.0,0.05555555555555556,6.25,0.829744279384613,0.6792341,1.0,0.7593299,35,5.073,2.946,16.023770809173584,5555.05
BF16,Which course teaches you how to classify data using IBM Granite models?,factual,Classifying Data Using IBM Granite,"The course titled ""Classifying Data Using IBM Granite"" teaches you how to classify data using IBM Granite models. It covers selecting a model and examining different prompts for text-based data. This course is designed for registered learners and lasts 60 minutes.",0.07439991547203502,0.21276595744680848,22.727272727272727,0.8729154467582703,0.8629259,1.0,0.6588075,41,4.357,2.943,18.036405324935913,5545.94
BF16,How long does the course 'Artificial Intelligence Fundamentals' take to complete?,factual,10+ hours,"The 'Artificial Intelligence Fundamentals' course has a duration of 10+ hours. It demonstrates knowledge of various AI concepts like natural language processing and machine learning. However, the exact completion time may vary depending on the individual.",0.0,0.10526315789473684,11.76470588235294,0.8439014554023743,0.3871548,1.0,0.47723317,36,5.69,2.597,19.140478372573853,5556.49
BF16,Which course in the AI category involves hands-on simulation and uses IBM watsonx for chatbot creation?,multi-hop,Build Your First Chatbot Using IBM watsonx™,"The “Build Your First Chatbot Using IBM watsonx” course involves hands-on simulation. It teaches you how to create chatbots using IBM watsonx. Through a simulation, you’ll practice generating code with simple prompts.",0.09598524129805773,0.34146341463414637,27.027027027027028,0.893079400062561,0.845663,0.0,0.7377833,32,4.446,3.005,16.891708374023438,5547.38
BF16,Which course discusses both cybersecurity threat intelligence and hands-on learning activities?,multi-hop,Getting Started with Threat Intelligence and Hunting,"The ""Getting Started with Threat Intelligence and Hunting"" course discusses both cybersecurity threat intelligence and hands-on learning activities. It includes concepts, methods, and tools related to the threat intelligence and hunting domain. This course offers practical experience alongside theoretical knowledge.",0.11835581533042372,0.2916666666666667,31.11111111111111,0.8893852829933167,0.81011474,1.0,0.5841887,40,4.921,2.958,17.59765315055847,5547.74
BF16,Which course includes learning about both prompt engineering and career pathways in generative AI?,multi-hop,Generative AI in Action,The “Use Generative AI for Software Development” course includes learning about prompt engineering and career pathways in generative AI. It covers how AI can assist with coding and provides insights into the job outlook within the field. This course also explores AI ethics and practical application using IBM watsonx.,0.0,0.11320754716981131,12.0,0.8245902061462402,0.49403816,1.0,0.66419196,49,4.479,3.309,18.906450510025024,5548.31
BF16,Which course teaches how to switch programming languages and fix code using AI tools?,multi-hop,Use Generative AI for Software Development Using IBM watsonx™,"The “Use Generative AI for Software Development” course teaches how to switch programming languages and fix code using AI tools. It covers using IBM watsonx to generate code and address coding issues. Additionally, the course demonstrates how to apply AI tools for analytics and automation.",0.04928412630671678,0.33333333333333337,23.076923076923077,0.8992677330970764,0.815079,0.0,0.7201568,45,4.595,3.18,18.340344667434692,5555.6
BF16,Which course explains the CIA triad and concepts of data privacy?,multi-hop,Getting Started with Cybersecurity,"The “Cybersecurity Fundamentals” course explains cybersecurity concepts, including cyber threat groups and overall cyber security risk management strategies. It covers topics like cryptography and common approaches to prevent cyber attacks. Additionally, the “Getting Started with Cybersecurity” course details the CIA triad and data privacy concepts.",0.0,0.163265306122449,13.043478260869565,0.8837493062019348,0.65988714,1.0,0.5617658,45,4.597,3.174,19.93877649307251,5555.12
BF16,Which is longer: 'Artificial Intelligence Fundamentals' or 'Getting Started with Artificial Intelligence'?,comparative,'Artificial Intelligence Fundamentals' is longer with 10+ hours compared to 3 hours.,"'Artificial Intelligence Fundamentals' has a duration of 10+ hours, which is longer than 'Getting Started with Artificial Intelligence' at 3 hours. Therefore, 'Artificial Intelligence Fundamentals' is longer.",0.1826249361348376,0.41025641025641024,52.63157894736842,0.93791663646698,0.91622365,0.0,0.34290123,27,5.174,3.011,16.1218478679657,5555.1
BF16,Which course is more comprehensive in duration: 'Machine Learning for Data Science Projects' or 'Data Fundamentals'?,comparative,'Machine Learning for Data Science Projects' with 20+ hours is more comprehensive than 'Data Fundamentals' with 7 hours.,"'Machine Learning for Data Science Projects' has a duration of 20+ hours, which is more comprehensive than 'Data Fundamentals' at 7 hours. ‘Enterprise Data Science in Practice’ has a duration of 10+ hours. Therefore, 'Machine Learning for Data Science Projects' is the most extensive course.",0.21963575775888045,0.5079365079365079,53.333333333333336,0.9389074444770813,0.85564977,0.0,0.48169494,45,4.62,3.104,22.19096565246582,5553.73
BF16,"Between 'Cybersecurity Fundamentals' and 'Getting Started with Cybersecurity', which takes more time?",comparative,'Cybersecurity Fundamentals' takes more time with 7.5 hours compared to 3 hours.,"“Cybersecurity Fundamentals” takes 7.5 hours, while “Getting Started with Cybersecurity” takes only 3 hours. Therefore, “Cybersecurity Fundamentals” requires more time to complete.",0.0,0.4444444444444444,52.94117647058824,0.9191496968269348,0.9125781,0.0,0.4361204,22,5.129,3.072,15.72614574432373,5557.12
BF16,Is 'Journey to Cloud: Orchestrating Your Solution' longer than 'Journey to Cloud: Envisioning Your Solution'?,comparative,"Yes, 'Journey to Cloud: Orchestrating Your Solution' is 20+ hours, while 'Journey to Cloud: Envisioning Your Solution' is 5 hours.","Yes, 'Journey to Cloud: Orchestrating Your Solution' is longer than 'Journey to Cloud: Envisioning Your Solution'. The former requires 20+ hours, while the latter only takes 5 hours.",0.5512329559748297,0.6666666666666666,82.60869565217392,0.9677644371986389,0.966674,0.0,0.36998302,28,4.548,3.095,16.498299837112427,5548.21
BF16,Which course is shorter: 'Build Your First Chatbot Using IBM watsonx™' or 'Generative AI in Action'?,comparative,'Build Your First Chatbot Using IBM watsonx™' is shorter with 60 minutes compared to 'Generative AI in Action' with 5+ hours.,"'Build Your First Chatbot Using IBM watsonx™' is shorter, lasting 60 minutes, compared to 'Generative AI in Action' and 'IBM Granite Models for Software Development,' both of which have a duration of 60 minutes. All three courses have the same duration.",0.27629861877763484,0.5483870967741935,56.666666666666664,0.9359071254730225,0.9366739,0.0,0.65640986,41,5.539,2.797,22.419180870056152,5549.65
BF16,Which course teaches quantum computing with IBM Qiskit?,unanswerable,N/A,"I don't know which course specifically teaches quantum computing with IBM Qiskit. The provided contexts focus on AI, machine learning, and chatbot development using IBM watsonx. They do not include information about quantum computing courses.",0.0,0.0,0.0,0.7665662169456482,-0.08409239,0.0,0.3833413,35,4.371,3.091,16.170178651809692,5556.02
