,Question Type,BLEU,ROUGE-L,F1,BERTScore (F1),Semantic Sim,Recall@5,Faithfulness,Answer Length,Time to First Token (s),Tokens per Second,Total Time (s),Peak Memory (MB),
gemma3:1b,comparative,0.153,0.445,36.4,0.909,0.708,0,0.419,16.2,2.33,9.12,4.14,8110,3
gemma3:4b,comparative,0.134,0.5,56.3,0.933,0.886,0,0.486,31.7,3.05,7.99,7.86,6880,5
llama3.2:1b,comparative,0.142,0.386,47.5,0.915,0.8,0,0.493,36.7,2.34,16.6,4.55,6880,2
llama3.2:latest,comparative,0.106,0.334,44,0.908,0.8,0,0.468,47.9,2.78,14.4,6.1,6880,0
phi4-mini:latest,comparative,0.0722,0.232,26.8,0.857,0.545,0,0.407,200,2.96,12.2,38.4,8110,0
,,,,,,,,,,,,,,
gemma3:1b,factual,0,0.245,27.9,0.863,0.607,0.8,0.571,17.8,2.62,8.48,4.3,8110,5
gemma3:4b,factual,0.0317,0.149,17,0.852,0.596,0.8,0.671,39.6,4.4,7.09,9.17,7120,2
llama3.2:1b,factual,0.0213,0.197,24.6,0.858,0.621,0.8,0.606,29.7,3.57,11.6,5.45,6890,1
llama3.2:latest,factual,0.0237,0.126,14.7,0.844,0.62,0.8,0.591,39.4,3.1,11.1,5.8,6880,1
phi4-mini:latest,factual,0.0144,0.082,10,0.819,0.575,0.8,0.608,665,3.22,15.5,41.2,8110,1
,,,,,,,,,,,,,,
gemma3:1b,multi-hop,0,0.187,19.3,0.862,0.607,0.6,0.71,34.3,2.3,14.9,4.24,8100,2
gemma3:4b,multi-hop,0.0466,0.238,20.5,0.877,0.719,0.6,0.681,43.7,2.94,8.29,7.76,6870,3
llama3.2:1b,multi-hop,0.115,0.299,31.1,0.872,0.632,0.6,0.657,37.7,2.29,15.1,4.25,6880,4
llama3.2:latest,multi-hop,0.0457,0.157,17.2,0.857,0.537,0.6,0.599,53.9,2.67,14.7,5.78,6880,0
phi4-mini:latest,multi-hop,0.0272,0.0902,8.87,0.829,0.573,0.6,0.65,1750,2.87,18.3,128,8120,1
,,,,,,,,,,,,,,
gemma3:1b,unanswerable,0,0.00811,0,0.778,0.0313,0,0.36,18.1,2.32,8.44,3.89,8110,
gemma3:4b,unanswerable,0,0.0194,0,0.77,-0.0173,0,0.378,36.9,3.07,7.45,7.35,6880,
llama3.2:1b,unanswerable,0,0.00618,0,0.772,0.00108,0,0.378,21.1,2.35,9.27,3.97,6880,
llama3.2:latest,unanswerable,0,0.0152,0,0.77,-0.0122,0,0.355,38.2,2.79,11.2,5.35,6880,
phi4-mini:latest,unanswerable,0,0.0378,0,0.745,0.0455,0,0.354,642,2.97,14.9,44.4,8120,
